conversation_root_id,customer_message,amazonhelp_response
2184701,@116316 @639874 Würdet ihr mal bitte aufklären wann die Reputation Deluxe Versionen ankommen? 🙏,"@639873 Hi, welches Datum wurde dir denn in der Bestellbestätigung genannt? Gruß ^MI"
2734316,Okay I need help people. I wasn't home when Amazon had dropped off a package. They left a package and literally a hour later the town was hit by a tornado. Am I entitled to like a refund or any compensation? Really need that elgato but the tornado destroyed it 💀,"@766363 Oh no! I hope everyone is okay! We'd love to help you with this, Aaryn. Please reach out to us via phone or chat here: https://t.co/hApLpMlfHN Let us know if you have any other questions or concerns! ^AJ"
2829466,"Die Ersatzlieferung für das beschädigte Buch ist da. Natürlich genauso beschissen verpackt. (Sollte ja inzwischen bekannt sein wie “Logistikpartner” die Pakete behandeln 🙄) 

Geht auch gleich zurück, diesmal mit Erstattung.  Dann halt nicht. @116316","@450493 Oh nein, das ist ja wirklich ärgerlich :( Hast du denn gleich ein Feedback zur Verpackung abgegeben? Wenn nicht, dann kannst du das einfach hier machen: https://t.co/dLhbMTHfvK ^MS"
486749,"And C'mon, @115821. I understand and advocate the need for security, but don't give us a credit card and then tell us we need to confirm the number on first use ... Fine, be like that.","@161302 Oh no, Katherine! Could you explain to us what happened, without providing any personal account information? ^GP"
777236,Amazonで予約注文したいものがあるのに、コンビニ決済が出来ない。ってか選択肢にない。なんでなんでなんで～？いつも出来るじゃん！他で探すかぁ…(´･_･`),@305549 恐れ入りますが、一部の予約商品については、コンビニ払いがご利用いただけない場合がございます。お支払方法選択肢に表示されない場合は、恐れ入りますが、他のお支払方法もご検討ください。 RI
1860220,まだアマゾンから写真集の振り込みのメールも届かないんだけど大丈夫かな？不安…,@556102 お支払い番号は商品によって発行時期が異なります。また、発行済みの場合には、アカウントサービスの注文履歴から番号を確認することが可能です。発行タイミングなど詳しくは、リンクのヘルプページをご参照ください。https://t.co/7XGrxNphFt TN
1022544,@AmazonHelp we order a Fire Kids Edition which had 2-year worry-free guarantee. It broke; how do we get replacement that should be covered?,"@361963 I'm sorry to hear the tablet broke, Jason! Here's information about the worry-free guarantee: https://t.co/GwIcQag4zo ^CN"
1350240,@115821 I have a locker to the right of this pic. Rubbish way to leave a parcel😡 https://t.co/oE9udpYdzP,"@434858 We're here to help! Has a Safe Place been setup on the account? If not, these steps will help: https://t.co/RZbz2mnHMH ^ML"
155133,I amazon prime now'ed a plant. I'm watching the delivery driver not being able to find the office &gt;.&lt;,@151577 Have we been able to successfully make the delivery? We want to ensure your plant arrives!  ^CS
1020058,"@124285 @116316 Extrem ärgerlich, wenn man sein Paket aus der #DHL #Packstation holt und es so aussieht. https://t.co/xMHEPTlMNH","@361367 Hi, ist denn der Inhalt unbeschädigt? Gerne kannst du direkt die Kollegen vom Kundenservice darüber informieren, die dein Feedback weiterleiten: https://t.co/ohyvGrpvrY ^SI"
486746,"@22416 buen día , realize una compra en @116875 y se realizó un cargo doble ya marque con los dos y ninguno se realizó responsabiliza de ese cargo, me podrán apoyar para resolver el problema.",@229489 ¡Hola Noe! Siento mucho el inconveniente. En este caso por favor entra en contacto con nuestros compañeros de servicio al cliente en el siguiente link: https://t.co/beR78zMMYB. ^NP
2928389,So since @115817 wants to lose my package with my @112280 @115858 #iPhoneX case if I break my phone I’m calling a lawyer.... @115821 you too #IPay4Prime !!!,@807239 I'm sorry you haven't received your order. You can check out our refund and replacement options here: https://t.co/FRsodhtXKJ ^FJ
60276,I cancelled an order from @115821 and they wont refund the credit card rewards I used to purchase. SO ANNOYED,@129778 I'm sorry for the trouble! Reward Points refunds take up to 5 business days. More info here: https://t.co/nHXpFxFqq6 ^LJ
429514,@115850 @AmazonHelp :why there is no result or any other information for winner's of these contests ..I have participated in many (1/1) https://t.co/4ZJbj8jc3m,@217150 The winners will be contacted by our specialist team Aklesh. ^HN
671286,Gotta love the @117093 no show the day before thanksgiving https://t.co/HWDqLTAslz,@135320 I'm sorry you haven't received your fresh order yet! Please reach out to us via phone or chat for available options here: https://t.co/hApLpMlfHN ^JP
2705739,@AmazonHelp Ordered something that never showed. Emailed the seller last Wednesday and still haven't heard back. Can you guys help get my money back?,"@759901 I'm sorry you didn't get your order. If you've waited 48 hours and haven't gotten a response, you'll want to file an A-to-z Guarantee claim: https://t.co/rvbV4pr9dW ^AF"
1413158,"Ordered a CD from @115821 on Oct 13th - still not shipped. Ordered 3 books from @9236 yesterday - delivered today.

#CompareAndContrast",@448409 We aim to deliver by the date quoted in your Order Confirmation e-mail. Have we missed this date?  ^AR
1842231,"Now, @115850 claims to have delivered, without doing so.
BTW, Delhi ban was on loud crackers, why are you maintaining silence? https://t.co/4umJbyVEj5",@518225 Apologies. I'd like to take a closer look into it. Please fill in this form: https://t.co/GIJyeYqKE0 and I'll revert shortly. ^AB
2159276,"@115850 non receipt of item, amazon dint even bother to call back..","@430876 Kindly reach out to our support team here: https://t.co/HQhpS2qeEd. We'll definitely look into it. 2/2 ^PS @430876 Sorry to know you haven't received the item, we certainly did not expect this to happen. 1/2 ^PS"
1525107,@115821 delayed my order 😡😡 don't they know I need to read these books asap??? - a disgruntled grad student,@473718 I'm sorry for the delay! Has there been any update to your delivery date listed here: https://t.co/Y5jpI9gRhE? ^JA
1701275,"How to ruin my day 101: 

Thanks a lot @AmazonHelp. This is the 2nd time in 3 weeks that this has happened. https://t.co/sdrLrpBKss","@515839 I'm sorry for the delay! Just to clarify, have you received an e-mail with a new expected delivery date? ^AL"
330923,"@AmazonHelp @115850  I want to buy ""
Adiko High Back Office Chair (Cream) by Adiko""  but when I proceed for payment .","@194788 able to deliver products at all pincodes. Request you to try an alternative address. (2/2) ^HD @194788 Sorry about the unavailability of service in your area. Due to certain restrictions, we'll not be (1/2) ^HD"
1592057,"Ugh! Grr! I love @115821, I really do. But I HATE that you don’t warn before renewing my prime subscription! $105 is a big, unexpected hit!",@489392 I'm so sorry for the unexpected charge. Is this a subscription your wanting to keep?  ^AG
1315498,@AmazonHelp yo i cant sign in keeps telling me to change my pw when i do i try to sign in with the same password and its not allowing wassup,@427322 Sorry to hear. Please reach out to us here: https://t.co/jzvkhdlrK5 (No login req) and we can look into it. ^PK
680679,Amazonで朝注文したのに支払いの連絡まだ来ない、やっぱプライムが優先なのかね,@282418 コンビニ・ATM・ネットバンキング・電子マネー払いのお支払番号は、ご注文の出荷準備が開始されるタイミングで発行されます。出荷準備開始後は、注文履歴の「領収書／購入明細書」からお支払い番号を確認頂けます。発行まで今しばらくお待ちください。 EK
470756,Spent 2 hours on a chat with an @115821 representative just now and my issue is still unresolved,"@227089 Oh no. Without giving us any personal/account info, can you let us know the issue you are facing? We are here to help! ^BA"
2687663,2017 y @116928 me pide que mande un FAX para enviar un documento para recuperar mi cuenta. Y @AmazonHelp no ayuda.,"@755715 Hola Pétalo, entiendo, debido a la naturaleza de esta información, el único medio seguro para enviarla es por fax. ^DA"
319698,@AmazonHelp @115850 supplier MK Laboratories is real unprofessional and follows no amazon principles 404-6441867-9525948 @30889 https://t.co/0Z9hK2CjgR,@192217 Sorry for the hassle. Please report this to our support team here: https://t.co/vlvfJr4nN9 and we'll check this.1/2 ^HN @192217 Please don’t provide your order details as it is personal information. Our page is visible to the public.2/2^HN
415118,Stop taking advantage of me @115821,@213986 Hello - can you tell us about what's going on without posting order or account information? ^DO
