conversation_root_id,tweet_id,customer_message,intent,context
199963,199963,"@AmazonHelp @115790 @127852 I thought as long as I get the Ronaldo Edition, I get all the promo benefits??? https://t.co/iGcm5NNi6E",Other/Unclear/non-substantive,"CUSTOMER: @AmazonHelp @115790 @127852 I thought as long as I get the Ronaldo Edition, I get all the promo benefits??? https://t.co/iGcm5NNi6E
AmazonHelp: @163176 Please fill out your contact info here: https://t.co/sMuQjDifkk, so a member of our team can take a look into this. ^CE"
1331195,1331195,"@AmazonHelp Bonjour, quand aurons-nous une date pour les Iphone 8 plus précommandés ? Merci !",Other/Unclear/non-substantive,"CUSTOMER: @AmazonHelp Bonjour, quand aurons-nous une date pour les Iphone 8 plus précommandés ? Merci !
AmazonHelp: @123666 Bonjour, vous recevrez un email de confirmation dans ce sens-là dès que le produit est en stock. ^SA
CUSTOMER: @AmazonHelp Merci pour la réponse mais je suis premium depuis des années et j’ai jamais été dans cette situation. Aucune info depuis mardi...
AmazonHelp: @123666 Une fois l'article disponible il sera envoyé en Prime vu que ce dernier concerne les livraisons et non le réapprovisionnement
CUSTOMER: @AmazonHelp Je comprends bien mais je demandais plutôt si vous aviez un ordre d’idée sur le délai d’approvisionnement.
AmazonHelp: @123666 Nous n'avons pas de date précise, vous serez informé par mail une fois que l'article est en stock. ^ASZ
CUSTOMER: @AmazonHelp Bonsoir, c’est pas pour vous embêter mais aucune nouvelle depuis le 24 octobre ça vous ressemble pas. Il y a un problème?
AmazonHelp: @123666 Bonsoir, je suis désolée pour ce retard! L'avez-vous signalé à notre SAV afin qu'il prenne les mesures nécessaires?^FT"
598027,598027,@115830 Would like to know why you claim to offer free deliveries on orders 20 pounds or more when order &amp; delivered by Amazon but with 2 items totaling 24 pounds Amazon still wants 5 pounds to deliver.,Delivery and order fulfillment,"CUSTOMER: @115830 Would like to know why you claim to offer free deliveries on orders 20 pounds or more when order &amp; delivered by Amazon but with 2 items totaling 24 pounds Amazon still wants 5 pounds to deliver.
AmazonHelp: @261768 I'm sorry for the trouble with your order. Are both of the items sold and fulfilled by Amazon? Do you mean Amazon Prime or Amazon Prime now? ^AN
CUSTOMER: @AmazonHelp Both say ""FREE UK Delivery on orders dispatched by Amazon over £20"" both are dispatched by Amazon but only one sold by Amazon.
AmazonHelp: @261768 Thanks for confirming! Just to clarify, are you shipping the items within the UK? ^VB
CUSTOMER: @AmazonHelp Yes. Both items would be delivered within the UK
AmazonHelp: @261768 Could you please provide us with links to the items? ^WT
CUSTOMER: @AmazonHelp https://t.co/k2I3flOM44  and https://t.co/P1T8oXnM1t
AmazonHelp: @261768 Thanks for the additional information, Bruce! Which shipping method are you selecting at checkout? ^SW"
2448275,2448275,"@AmazonHelp 
Location Miami, Florida
Fire Tv states: Home is currently unavailable We are currently unable to contact our servers
I have internet connection (checked on the Fire TV and no issues found)","Digital products, devices, and apps","CUSTOMER: @AmazonHelp  Location Miami, Florida Fire Tv states: Home is currently unavailable We are currently unable to contact our servers I have internet connection (checked on the Fire TV and no issues found)
AmazonHelp: @701778 Oh no! We would love to troubleshoot with you in real time. Please reach out to us via phone or chat here:  https://t.co/hApLpMlfHN"
1756508,1756508,@115830 Next day Prime delivery for Monday still hasn’t arrived. Tracking ID Q40730293654. What’s going on please!?,Delivery and order fulfillment,"CUSTOMER: @115830 Next day Prime delivery for Monday still hasn’t arrived. Tracking ID Q40730293654. What’s going on please!?
AmazonHelp: @528898 Hi James! We don't have account access on Twitter. Please contact us via phone or chat here: https://t.co/JzP7hlA23B ^MW"
419894,419894,And the 'customer service' email I got was dreadful. Do you have a head office I can contact @115830 ?,Customer service escalation and feedback,"CUSTOMER: And the 'customer service' email I got was dreadful. Do you have a head office I can contact @115830 ?
AmazonHelp: @118232 Hello-Please contact via the below link: https://t.co/JzP7hlA23B and we can transfer your concerns directly. Thank you. ^NV
CUSTOMER: @AmazonHelp I go through that all the time. So unhelpful. I want to make an official complaint.
AmazonHelp: @118232 Did you ask them for the head office details when you were onto them at anytime? ^PK
CUSTOMER: @AmazonHelp I've asked every time I've complained. Never get given it.
AmazonHelp: @118232 My team would like to personally look into this. Fill out the form here:https://t.co/mh2tyPE9qF and we will reach out! ^SA"
2397065,2397065,So I can’t use my American credit card for @24155 in japan. Even though I already use the same card for orders...guess they don’t want me to sign up for music unlimited 🤷🏻‍♂️,Other/Unclear/non-substantive,"CUSTOMER: So I can’t use my American credit card for @24155 in japan. Even though I already use the same card for orders...guess they don’t want me to sign up for music unlimited 🤷🏻‍♂️
AmazonHelp: @689915 Hi, only a domestic card can be used for Amazon music unlimited for JP. Here is the link to know more https://t.co/fwczjuId3P SM
CUSTOMER: @AmazonHelp Thanks for the information."
2617304,2617304,@115821 ordered about a billion things that qualified for prime and none of them showed up in two days.,Prime membership and benefits,"CUSTOMER: @115821 ordered about a billion things that qualified for prime and none of them showed up in two days.
AmazonHelp: @739725 Hi Katie. I'm sorry to hear about the trouble! Just to confirm, have we missed the delivery date given in your order confirmation email? You can also see this date here: https://t.co/Y5jpI9gRhE. ^HC
CUSTOMER: @AmazonHelp Yes. All we’re supposed to be delivered today and now all of the dates have been pushed out to later this week. None are out for delivery today.
AmazonHelp: @739725 I am so sorry your packages will not be arriving when you expected. Were you given a reason for the delay via e-mail? ^VF
CUSTOMER: @AmazonHelp Hello. No reason for delay email for any of the purchases.
AmazonHelp: @739725 That's strange! Does the carriers tracking site give any indication as to the delay? Please let us know, we'd like to help where we can. ^KL
CUSTOMER: @AmazonHelp No indication and no definite date. All were prime eligible.
AmazonHelp: @739725 I can understand your disappointment and frustration. When you have a moment, check your Message Center to confirm what the e-mail with the delay confirmation states as the reason, and let us know: https://t.co/wiaquWkRhj ^NN"
115818,115818,Comprei meus livros na segunda e já chegaram. Como não amar a @117086 💕,Other/Unclear/non-substantive,"CUSTOMER: Comprei meus livros na segunda e já chegaram. Como não amar a @117086 💕
AmazonHelp: @141789 Olá, Amanda! Conte para nós, quais livros você comprou?. ❤️📚❤️  ^NB
CUSTOMER: @AmazonHelp Garoto 21, A casa das marés, Paris para um, Sejamos todos feministas, Tartarugas até lá embaixo, Estamos bem, Simon vs a agenda homo sapiens, Joyland, Meu coraçao e outros buracos negros e Por lugares incríveis.  No aguardo das próximas ofertas da back pra comprar mais alguns 😁
AmazonHelp: @141789 Nossa Amanda! Que monte de livros. 😍😍 E nós conte, qual é seu gênero literário favorito? 📚
CUSTOMER: @AmazonHelp Romance e fantasia 💕"
2707615,2707615,"@116618 Is there a way to “reset” the watched indicator and “start fresh”? I’m re-watching Downton Abbey but forget which episode I saw last night, all the indicators are showing full green from my first time viewing",Other/Unclear/non-substantive,"CUSTOMER: @116618 Is there a way to “reset” the watched indicator and “start fresh”? I’m re-watching Downton Abbey but forget which episode I saw last night, all the indicators are showing full green from my first time viewing
AmazonHelp: @760374 : You can remove the title from your watched list here: https://t.co/lgUUi5zpfs. Just select the options to ""Remove this from watched videos"". ^CL
CUSTOMER: @AmazonHelp Sorry, that doesnt change the green status. I’m watching on the ipad app, if that makes a difference
AmazonHelp: @760374 Let's try this. Go to https://t.co/p4NJwa6YY7 and select ""Browsing History"" at the top of the page to see the last episode viewed. ^CH
CUSTOMER: @AmazonHelp Nope, that shows all the merchandise I’ve looked at on  Amazon, not the videos. Did a goog/reddit search, this seems to be a pervasive problem. Time for an update fix!"
