example_id,conversation_root_id,tweet_id,customer_message,context,weak_intent,reviewer_intent,reviewer_notes
human-train-0001,1260961,1260961,There's still time for it to ship... right? @115821 ... please make sure this ships on time... https://t.co/XiQdIkkhma,"CUSTOMER: There's still time for it to ship... right? @115821 ... please make sure this ships on time... https://t.co/XiQdIkkhma
AmazonHelp: @414181 There sure is! Some orders ship and deliver within the same day. If it doesn't arrive on Friday, please contact us. ^BE
CUSTOMER: @AmazonHelp Ok cool! If it doesn't ship i'll make sure to contact you guys.",Delivery and order fulfillment,Customer service escalation and feedback,
human-train-0002,2474953,2474953,@115850 hey Its been 2 hours since i recharged on amazon pay and the amount isn’t reflecting yet and i need to order..whats the hiccup?,"CUSTOMER: @115850 hey Its been 2 hours since i recharged on amazon pay and the amount isn’t reflecting yet and i need to order..whats the hiccup?
AmazonHelp: @707558 That's Unusual, Omkar. Please connect to us here: https://t.co/vlvfJr4nN9 and we’ll be glad to help you. ^NK
CUSTOMER: @AmazonHelp No worries.. i just got that sorted",Delivery and order fulfillment,Delivery and order fulfillment,
human-train-0003,511662,511662,"@115821 Received a package today that was nothing I ordered.  Being polite, I contacted you to find the correct person.  I was told to keep the package without asking what was in the box.","CUSTOMER: @115821 Received a package today that was nothing I ordered.  Being polite, I contacted you to find the correct person.  I was told to keep the package without asking what was in the box.
AmazonHelp: @237630 Did we provide a reason for keeping the package? Was the package addressed to you? ^LA
CUSTOMER: @AmazonHelp I supplied all the information on the label, including the tracking number, the person could not locate the package/order.   The lady consulted with a supervisor then told me to keep the package.
AmazonHelp: @237630 Are you able to locate a packing slip with an order number on it within the package?    ^FJ
CUSTOMER: @AmazonHelp No packing slip.   You seem more interested in the package than customer service.",Delivery and order fulfillment,Customer service escalation and feedback,
human-train-0004,438014,438014,@115821 I have e-mailed twice about an order that was delivered with the wrong items and have not received a responce.,"CUSTOMER: @115821 I have e-mailed twice about an order that was delivered with the wrong items and have not received a responce.
AmazonHelp: @219057 I'm sorry you haven't received a reply! Please contact us via chat or phone for real-time help: https://t.co/hApLpMlfHN ^WT",Delivery and order fulfillment,"Product condition, item accuracy, and seller issues",
human-train-0005,1622631,1622631,Yet another delivery failure by @115821.  Waiting around in vain for a premium delivery. The Prime promise is so often broken. Such a shame,"CUSTOMER: Yet another delivery failure by @115821.  Waiting around in vain for a premium delivery. The Prime promise is so often broken. Such a shame
AmazonHelp: @497125 We don't want to disappoint you, Aph. Have we missed the estimated delivery date provided at checkout/in your e-mail? ^FD",Delivery and order fulfillment,"Digital products, devices, and apps",
human-train-0006,2677864,2677864,"@115821 Hi, USPS lost my last order- can I get a refund or have it re-shipped?","CUSTOMER: @115821 Hi, USPS lost my last order- can I get a refund or have it re-shipped?
AmazonHelp: @636008 We'd love to look into available options with you! Please reach us via phone/chat here: https://t.co/hApLpMlfHN ^KP",Delivery and order fulfillment,Prime membership and benefits,
human-train-0007,1393943,1393943,"@115850 package to be delivered today, called no of amzagent who said he is on leave and no regard for customer. Package untraceable","CUSTOMER: @115850 package to be delivered today, called no of amzagent who said he is on leave and no regard for customer. Package untraceable
AmazonHelp: @444182 I'm sorry about the situation. Kindly connect with us here: https://t.co/rS49hgaADF we'll check this for you. ^PJ",Delivery and order fulfillment,"Returns, refunds, and charges",
human-train-0008,2776364,2776364,@118919 Order ID: 406-6562388-3825941  your delivery person refused to deliver at my PLACE yesterday and today also same thing. Even after multiple complaints to ur customer care. No action Taken. DISAPPOINTED WITH YOUR SERVICE THIS TIME.,"CUSTOMER: @118919 Order ID: 406-6562388-3825941  your delivery person refused to deliver at my PLACE yesterday and today also same thing. Even after multiple complaints to ur customer care. No action Taken. DISAPPOINTED WITH YOUR SERVICE THIS TIME.
AmazonHelp: @775760 We would like to help you. Please share your details with us here: https://t.co/GIJyeYqKE0. We'll get in touch shortly. Please don't provide your order details as we consider it personal information. Our twitter page is visible to public.^CB",Delivery and order fulfillment,"Pricing, offers, and product availability",
human-train-0009,286332,286332,"Hey @AmazonHelp, placed an order on 3rd for Prime delivery - still not arrived! Birthday present for today. What can you do?","CUSTOMER: Hey @AmazonHelp, placed an order on 3rd for Prime delivery - still not arrived! Birthday present for today. What can you do?
AmazonHelp: @184213 We're here to help, Kim! Have you checked the delivery date of your order? You can find this here: https://t.co/aaDyEz1VgE ^VB
CUSTOMER: @AmazonHelp I have indeed. It says 4-6 oct, but it's not turned up and the delivery address is to a business which has closed for the day :(
AmazonHelp: @184213 I know this is frustrating! The courier has until 21:00 to deliver the item. We ask that you wait until then. Keep us posted! ^AL
CUSTOMER: @AmazonHelp Understood, but the building is closed for the day so there won't be anybody to deliver to!
AmazonHelp: @184213 We'd like to look into available options with you. Please reach us via phone/chat here: https://t.co/JzP7hlA23B ^KP",Delivery and order fulfillment,"Pricing, offers, and product availability",
human-train-0010,1228670,1228670,Maybe I'm not the best at math but Amazon Prime 2 day shipping takes 7days? @AmazonHelp https://t.co/XAkKzLLGz1,"CUSTOMER: Maybe I'm not the best at math but Amazon Prime 2 day shipping takes 7days? @AmazonHelp https://t.co/XAkKzLLGz1
AmazonHelp: @408247 Two-Day Shipping refers to transit time, in business days. You can learn more on shipping, here: https://t.co/GJXDyPCYlJ ^AG
CUSTOMER: @AmazonHelp Two business days=Friday. It says 1 day shipping=Monday. Today is Wednesday. 1-day should arrive tomorrow &amp; 2 day should arrive Friday.
AmazonHelp: @408247 Some items may not be avail to ship right away. We aim to deliver by the date provided at checkout. Please keep us posted. ^JM
CUSTOMER: @AmazonHelp They are in stock. Just another Amazon bait &amp; switch. I'm going to pick 1 day shipping so I get it Monday. Feel free to refund me the $5.99.
CUSTOMER: @AmazonHelp And this one says 2 biz days is the 31st when it really is Friday the 27th. #AmazonMath https://t.co/Fsz6ikAQqy",Delivery and order fulfillment,Account access and security,
