conversation_root_id,split,retrieval_exclusion,reason
467382,evaluation,467382,Golden conversations are excluded from retrieval evidence
138268,evaluation,138268,Golden conversations are excluded from retrieval evidence
1271842,evaluation,1271842,Golden conversations are excluded from retrieval evidence
1124879,evaluation,1124879,Golden conversations are excluded from retrieval evidence
1005118,evaluation,1005118,Golden conversations are excluded from retrieval evidence
576468,evaluation,576468,Golden conversations are excluded from retrieval evidence
436338,evaluation,436338,Golden conversations are excluded from retrieval evidence
2836956,evaluation,2836956,Golden conversations are excluded from retrieval evidence
381446,evaluation,381446,Golden conversations are excluded from retrieval evidence
2276490,evaluation,2276490,Golden conversations are excluded from retrieval evidence
166518,evaluation,166518,Golden conversations are excluded from retrieval evidence
158671,evaluation,158671,Golden conversations are excluded from retrieval evidence
404050,evaluation,404050,Golden conversations are excluded from retrieval evidence
985059,evaluation,985059,Golden conversations are excluded from retrieval evidence
1062306,evaluation,1062306,Golden conversations are excluded from retrieval evidence
2652330,evaluation,2652330,Golden conversations are excluded from retrieval evidence
142953,evaluation,142953,Golden conversations are excluded from retrieval evidence
2893160,evaluation,2893160,Golden conversations are excluded from retrieval evidence
882506,evaluation,882506,Golden conversations are excluded from retrieval evidence
2835599,evaluation,2835599,Golden conversations are excluded from retrieval evidence
2263025,evaluation,2263025,Golden conversations are excluded from retrieval evidence
990374,evaluation,990374,Golden conversations are excluded from retrieval evidence
2378971,evaluation,2378971,Golden conversations are excluded from retrieval evidence
1288895,evaluation,1288895,Golden conversations are excluded from retrieval evidence
42558,evaluation,42558,Golden conversations are excluded from retrieval evidence
682590,evaluation,682590,Golden conversations are excluded from retrieval evidence
2278359,evaluation,2278359,Golden conversations are excluded from retrieval evidence
1595275,evaluation,1595275,Golden conversations are excluded from retrieval evidence
1286427,evaluation,1286427,Golden conversations are excluded from retrieval evidence
663820,evaluation,663820,Golden conversations are excluded from retrieval evidence
972596,evaluation,972596,Golden conversations are excluded from retrieval evidence
1573005,evaluation,1573005,Golden conversations are excluded from retrieval evidence
435151,evaluation,435151,Golden conversations are excluded from retrieval evidence
399147,evaluation,399147,Golden conversations are excluded from retrieval evidence
1844493,evaluation,1844493,Golden conversations are excluded from retrieval evidence
420218,evaluation,420218,Golden conversations are excluded from retrieval evidence
1700033,evaluation,1700033,Golden conversations are excluded from retrieval evidence
1609079,evaluation,1609079,Golden conversations are excluded from retrieval evidence
1225700,evaluation,1225700,Golden conversations are excluded from retrieval evidence
226347,evaluation,226347,Golden conversations are excluded from retrieval evidence
2422658,evaluation,2422658,Golden conversations are excluded from retrieval evidence
2805111,evaluation,2805111,Golden conversations are excluded from retrieval evidence
520676,evaluation,520676,Golden conversations are excluded from retrieval evidence
1828692,evaluation,1828692,Golden conversations are excluded from retrieval evidence
349994,evaluation,349994,Golden conversations are excluded from retrieval evidence
2864680,evaluation,2864680,Golden conversations are excluded from retrieval evidence
1366232,evaluation,1366232,Golden conversations are excluded from retrieval evidence
1715276,evaluation,1715276,Golden conversations are excluded from retrieval evidence
2952192,evaluation,2952192,Golden conversations are excluded from retrieval evidence
842180,evaluation,842180,Golden conversations are excluded from retrieval evidence
318581,evaluation,318581,Golden conversations are excluded from retrieval evidence
232128,evaluation,232128,Golden conversations are excluded from retrieval evidence
1035132,evaluation,1035132,Golden conversations are excluded from retrieval evidence
1344520,evaluation,1344520,Golden conversations are excluded from retrieval evidence
351649,evaluation,351649,Golden conversations are excluded from retrieval evidence
1063837,evaluation,1063837,Golden conversations are excluded from retrieval evidence
431111,evaluation,431111,Golden conversations are excluded from retrieval evidence
1850506,evaluation,1850506,Golden conversations are excluded from retrieval evidence
1287031,evaluation,1287031,Golden conversations are excluded from retrieval evidence
2393464,evaluation,2393464,Golden conversations are excluded from retrieval evidence
1727971,evaluation,1727971,Golden conversations are excluded from retrieval evidence
699464,evaluation,699464,Golden conversations are excluded from retrieval evidence
