example_id,tweet_id,conversation_root_id,customer_message,context,intent,expected_escalation,escalation_reason,label_source,annotation_status,reviewer_intent,reviewer_expected_escalation,reviewer_notes
amz-0001,467382,467382,@116316 ach mit euch hab ich oft genug Probleme jetzt ist mein Problem dass ich mein gekauftes Album (JBG3) nicht über Amazon Music runterladen kann und das schon seit 00:00 obwohl heute release ist Danke!,"CUSTOMER: @116316 ach mit euch hab ich oft genug Probleme jetzt ist mein Problem dass ich mein gekauftes Album (JBG3) nicht über Amazon Music runterladen kann und das schon seit 00:00 obwohl heute release ist Danke!
AmazonHelp: @226257 Erscheint es in deiner Musikbibiliothek? Grüße ^TG
CUSTOMER: @AmazonHelp Nein ist es nicht
AmazonHelp: @226257 Melde dich mal im Kundenservice. Die Kollegen finden heraus, was da nicht stimmt: https://t.co/5RHhEVutwe Viele Grüße ^UK
CUSTOMER: @AmazonHelp Ok danke
AmazonHelp: @226257 Hey, wir wollten kurz mal nachfragen, ob dir die Kollegen vom Kundenservice helfen konnten? ^MS
CUSTOMER: @AmazonHelp Ja sie haben mir geholfen
AmazonHelp: @226257 Ok super. Dann wünsch ich dir noch ein schönes Wochenende. ^MS",Other/Unclear/non-substantive,ESCALATE,Security or insufficient-information risk,weak_rule_generated,needs_manual_review,Prime membership and benefits,ESCALATE,
amz-0002,138268,138268,"@115850 worst service ever!
Order not even delivered and changed the status to “Order Delivered”","CUSTOMER: @115850 worst service ever! Order not even delivered and changed the status to “Order Delivered”
AmazonHelp: @147143 That's unusual, orders are delivered to the customer as per tracking update. I apologize for the incorrect tracking update on your order, kindly report this to our support team here: https://t.co/rS49hgaADF and we will get this sorted. ^VH
CUSTOMER: @AmazonHelp No resolution has been done from your side.Already contacted via this link 2-3 times. Here is the Tracking # 184123617427
AmazonHelp: @147143 Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. ^GD
AmazonHelp: @147143 I'm sorry that the product is not yet delivered. Kindly share your details here: https://t.co/GIJyeYqKE0 and we'll look into the issue for you. ^GD",Delivery and order fulfillment,AUTO_HANDLE,Concrete intent with sufficient information,weak_rule_generated,needs_manual_review,Delivery and order fulfillment,ESCALATE,
amz-0003,1271842,1271842,"@115850 
Need a revert urgently","CUSTOMER: @115850  Need a revert urgently
AmazonHelp: @371732 I'm sorry but I'm unable to comprehend. Could you please elaborate your issue? ^PR
CUSTOMER: @AmazonHelp I have directly send you all the details
CUSTOMER: @AmazonHelp Please go thro the mail __email__ or registered 9544404488
CUSTOMER: @AmazonHelp Can you please send me esclation  email id and also email id of amazon india incharge
AmazonHelp: @371732 here: https://t.co/GIJyeYqKE0 &amp; necessary escalations will be done. 2/2 ^MJ
AmazonHelp: @371732 Your account details on Twitter will not help us gain access to your account, write to us 1/2 ^MJ
CUSTOMER: @AmazonHelp I just  need esclation  matrix and mail id of india incharge",Other/Unclear/non-substantive,ESCALATE,Security or insufficient-information risk,weak_rule_generated,needs_manual_review,"Returns, refunds, and charges",AUTO_HANDLE,
amz-0004,1124879,1124879,"@AmazonHelp just setup a fire stick, when I say play Narcos it only shows search results and won’t open Netflix and play. Is this right?","CUSTOMER: @AmazonHelp just setup a fire stick, when I say play Narcos it only shows search results and won’t open Netflix and play. Is this right?
AmazonHelp: @320581 I'm sorry to hear that!  I believe the best option would be for you to reach out to us so our specialist team can assist. https://t.co/JzP7hlA23B Thank you!  ^WB","Product condition, item accuracy, and seller issues",AUTO_HANDLE,Concrete intent with sufficient information,weak_rule_generated,needs_manual_review,Delivery and order fulfillment,ESCALATE,
amz-0005,1005118,1005118,I order from amazon so much that my neighbours know the delivery man on a first name basis,"CUSTOMER: I order from amazon so much that my neighbours know the delivery man on a first name basis
AmazonHelp: @357896 Brilliant ☺️^KM",Delivery and order fulfillment,AUTO_HANDLE,Concrete intent with sufficient information,weak_rule_generated,needs_manual_review,Account access and security,ESCALATE,
amz-0006,576468,576468,@AmazonHelp I talked to your Indian customer support representative and he said that he is not able to find contact number of seller. Do you really verify sellers before registering? I'm unable to claim my warranty for order of crossbeats headphone as it stopped workng in 5 mnths,"CUSTOMER: @AmazonHelp I talked to your Indian customer support representative and he said that he is not able to find contact number of seller. Do you really verify sellers before registering? I'm unable to claim my warranty for order of crossbeats headphone as it stopped workng in 5 mnths
AmazonHelp: @255669 Sorry to know about the trouble you're facing in claiming the warranty. We'd like to have this checked, kindly drop in your details here: https://t.co/beaaDm0muc and we'll reach out to you at the earliest. ^EM
CUSTOMER: @AmazonHelp done
AmazonHelp: @255669 We have received your details. We are working on it and will get back to you soon. ^VH",Delivery and order fulfillment,AUTO_HANDLE,Concrete intent with sufficient information,weak_rule_generated,needs_manual_review,Account access and security,AUTO_HANDLE,
amz-0007,436338,436338,@115850 I am purchase lot products from all On line sites But Never face Very Worst Delivery service From @115850.,"CUSTOMER: @115850 I am purchase lot products from all On line sites But Never face Very Worst Delivery service From @115850.
AmazonHelp: @218635 Could you please tell us more about the issue for better understanding? ^HN
CUSTOMER: @AmazonHelp Same think happen 2nd order id But reason is change.this time reason is Not done payment by customer fakely.i
CUSTOMER: @AmazonHelp Not attempt delivery.Then evening close order status cant reach customer fakely.Then y @115850 place our order
CUSTOMER: @AmazonHelp I order two products 7/10/2017. Order no- 407-1429305-3674761 Order no- 407-2054464-8216339
AmazonHelp: @218635 Please don't provide your order details, we consider it personal information. Our Twitter page is visible to public. ^HA
CUSTOMER: @AmazonHelp Orders id' s deleted
AmazonHelp: @218635 Sorry about the order. We'd like to investigate this further, please share your details here: https://t.co/cQVomR1pWz. ^HA",Delivery and order fulfillment,AUTO_HANDLE,Concrete intent with sufficient information,weak_rule_generated,needs_manual_review,"Pricing, offers, and product availability",ESCALATE,
amz-0008,2836956,2836956,Comprei meu Kindle na sexta. Chegou ontem. @117086 eu quero BEIJAR VOCÊS.,"CUSTOMER: Comprei meu Kindle na sexta. Chegou ontem. @117086 eu quero BEIJAR VOCÊS.
AmazonHelp: @789604 Caroool, assim você nós deixa tímidos! ❤  Já sabe qual será o primer eBook que irá leer no Kindle? ^DA
CUSTOMER: @AmazonHelp Já! Vou ler Sapiens, que já tinha começado a leitura 😍. Mas parabéns pela agilidade, foi impressionante!
AmazonHelp: @789604 A sua leitura vai ficar mais lindona com o Kindle! ❤ Ownt, é tudo para ver você feliz! 🏃‍📦 ^DA
CUSTOMER: @AmazonHelp Agora estou vendo se assino o Ilimitado. &lt;3 Obrigada!
AmazonHelp: @789604 É demais, você iria gostar também. Se tiver alguma dúvida, só nós chamar! 😊 ^DA","Digital products, devices, and apps",AUTO_HANDLE,Concrete intent with sufficient information,weak_rule_generated,needs_manual_review,Customer service escalation and feedback,ESCALATE,
amz-0009,381446,381446,何か最近Amazonの日時指定が適当で困る!! 指定日とは関係無しで届くんだけど!! でも時間は希望した時間内とか 何故?! お届け日時指定便を選択してるんだから守ろうヨォ💦明日指定なのに今日届いてるッポイ‼ 親が家に居て良かったし!!,"CUSTOMER: 何か最近Amazonの日時指定が適当で困る!! 指定日とは関係無しで届くんだけど!! でも時間は希望した時間内とか 何故?! お届け日時指定便を選択してるんだから守ろうヨォ💦明日指定なのに今日届いてるッポイ‼ 親が家に居て良かったし!!
AmazonHelp: @206456 アマゾンです。ご指定いただいたのと異なる日時に届いたまたは、届かなかった場合は、カスタマーサービスにて確認させていただきます。お手数ですが、文末のリンクよりお問い合わせください。https://t.co/NtNAX37Sr4 ET",Other/Unclear/non-substantive,ESCALATE,Security or insufficient-information risk,weak_rule_generated,needs_manual_review,Customer service escalation and feedback,AUTO_HANDLE,
amz-0010,2276490,2276490,Not even fucking kidding on. TWICE NOW that those amazin fucks have sent me a 1060 instead of a 1080. I better be due some compensation here im £1240 down and STILL without what i ordered a week ago. TWICE ITS HAPPENED. My life's beyond a joke. FIX THIS @115821 https://t.co/rj24lbjmVx,"CUSTOMER: Not even fucking kidding on. TWICE NOW that those amazin fucks have sent me a 1060 instead of a 1080. I better be due some compensation here im £1240 down and STILL without what i ordered a week ago. TWICE ITS HAPPENED. My life's beyond a joke. FIX THIS @115821 https://t.co/rj24lbjmVx
AmazonHelp: @636781 Hey Johnman, I am so sorry that we've sent your the wrong item twice! Please contact us at https://t.co/kIOkWi6PI5 so we can look into possible options with you and investigate the reason this has happened. ^PF
CUSTOMER: @AmazonHelp I've already been on the phone talking to managers and all sorts and the best your multi billion dollar company could offer me in compensation for MISSING £1240 for 2 weeks was a £10 gift card? Can you believe it buddy?? I sure can't.",Other/Unclear/non-substantive,ESCALATE,Security or insufficient-information risk,weak_rule_generated,needs_manual_review,"Pricing, offers, and product availability",ESCALATE,
